out_name,units,long_name,standard_name,priority,comments,frequency
va150m,m s-1,Northward Wind at 150m,northward_wind,TIER1,,day
va150m,m s-1,Northward Wind at 150m,northward_wind,TIER1,,1hrPt
ta50m,K,Air Temperature at 50m,air_temperature,TIER1, requested for urban modeling,mon
ta50m,K,Air Temperature at 50m,air_temperature,TIER1, requested for urban modeling,day
ta50m,K,Air Temperature at 50m,air_temperature,TIER1, requested for urban modeling,1hrPt
hus50m,1,Specific Humidity at 50m,specific_humidity,TIER1, requested for urban modeling,mon
hus50m,1,Specific Humidity at 50m,specific_humidity,TIER1, requested for urban modeling,day
hus50m,1,Specific Humidity at 50m,specific_humidity,TIER1, requested for urban modeling,1hrPt
evspsblpot,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,TIER2,,mon
evspsblpot,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,TIER2,,day
evspsblpot,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,TIER2,,1hr
wsgsmax,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,TIER2,,mon
wsgsmax,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,TIER2,,day
clh,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,mon
clh,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,day
clh,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,6hr
clm,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,between 680 and 440 hPa,mon
clm,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,between 680 and 440 hPa,day
clm,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,between 680 and 440 hPa,6hr
cll,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,below 680 hPa,mon
cll,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,below 680 hPa,day
cll,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,below 680 hPa,6hr
rsdscs,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,mon
rsdscs,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,day
rsdscs,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,6hr
rldscs,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,mon
rldscs,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,day
rldscs,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,6hr
rsuscs,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,mon
rsuscs,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,day
rsuscs,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,6hr
rluscs,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,mon
rluscs,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,day
rluscs,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,6hr
rsutcs,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,TIER2,,mon
rsutcs,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,TIER2,,day
rsutcs,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,TIER2,,6hr
rlutcs,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,mon
rlutcs,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,day
rlutcs,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,6hr
z0,m,Surface Roughness Length,surface_roughness_length,TIER2,,mon
z0,m,Surface Roughness Length,surface_roughness_length,TIER2,,day
CAPE,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,mon
CAPE,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,day
CAPE,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,1hrPt
LI,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,mon
LI,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,day
LI,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,1hrPt
CIN,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,mon
CIN,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,day
CIN,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,1hrPt
CAPEmax,J kg-1,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,mon
CAPEmax,J kg-1,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,day
LImax,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,mon
LImax,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,day
CINmax,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,mon
CINmax,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,day
od550aer ,1,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER2,,mon
ua150,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua150,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua150,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua100,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua100,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua100,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua70,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua70,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua70,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua50,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua50,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua50,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua30,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua30,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua30,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua20,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua20,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua20,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
ua10,m s-1,Eastward Wind,eastward_wind,TIER2,,mon
ua10,m s-1,Eastward Wind,eastward_wind,TIER2,,day
ua10,m s-1,Eastward Wind,eastward_wind,TIER2,,6hrPt
va150,m s-1,Northward Wind,northward_wind,TIER2,,mon
va150,m s-1,Northward Wind,northward_wind,TIER2,,day
va150,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va100,m s-1,Northward Wind,northward_wind,TIER2,,mon
va100,m s-1,Northward Wind,northward_wind,TIER2,,day
va100,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va70,m s-1,Northward Wind,northward_wind,TIER2,,mon
va70,m s-1,Northward Wind,northward_wind,TIER2,,day
va70,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va50,m s-1,Northward Wind,northward_wind,TIER2,,mon
va50,m s-1,Northward Wind,northward_wind,TIER2,,day
va50,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va30,m s-1,Northward Wind,northward_wind,TIER2,,mon
va30,m s-1,Northward Wind,northward_wind,TIER2,,day
va30,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va20,m s-1,Northward Wind,northward_wind,TIER2,,mon
va20,m s-1,Northward Wind,northward_wind,TIER2,,day
va20,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
va10,m s-1,Northward Wind,northward_wind,TIER2,,mon
va10,m s-1,Northward Wind,northward_wind,TIER2,,day
va10,m s-1,Northward Wind,northward_wind,TIER2,,6hrPt
ta150,K,Air Temperature,air_temperature,TIER2,,mon
ta150,K,Air Temperature,air_temperature,TIER2,,day
ta150,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta100,K,Air Temperature,air_temperature,TIER2,,mon
ta100,K,Air Temperature,air_temperature,TIER2,,day
ta100,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta70,K,Air Temperature,air_temperature,TIER2,,mon
ta70,K,Air Temperature,air_temperature,TIER2,,day
ta70,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta50,K,Air Temperature,air_temperature,TIER2,,mon
ta50,K,Air Temperature,air_temperature,TIER2,,day
ta50,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta30,K,Air Temperature,air_temperature,TIER2,,mon
ta30,K,Air Temperature,air_temperature,TIER2,,day
ta30,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta20,K,Air Temperature,air_temperature,TIER2,,mon
ta20,K,Air Temperature,air_temperature,TIER2,,day
ta20,K,Air Temperature,air_temperature,TIER2,,6hrPt
ta10,K,Air Temperature,air_temperature,TIER2,,mon
ta10,K,Air Temperature,air_temperature,TIER2,,day
ta10,K,Air Temperature,air_temperature,TIER2,,6hrPt
hus150,1,Specific Humidity,specific_humidity,TIER2,,mon
hus150,1,Specific Humidity,specific_humidity,TIER2,,day
hus150,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus100,1,Specific Humidity,specific_humidity,TIER2,,mon
hus100,1,Specific Humidity,specific_humidity,TIER2,,day
hus100,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus70,1,Specific Humidity,specific_humidity,TIER2,,mon
hus70,1,Specific Humidity,specific_humidity,TIER2,,day
hus70,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus50,1,Specific Humidity,specific_humidity,TIER2,,mon
hus50,1,Specific Humidity,specific_humidity,TIER2,,day
hus50,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus30,1,Specific Humidity,specific_humidity,TIER2,,mon
hus30,1,Specific Humidity,specific_humidity,TIER2,,day
hus30,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus20,1,Specific Humidity,specific_humidity,TIER2,,mon
hus20,1,Specific Humidity,specific_humidity,TIER2,,day
hus20,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
hus10,1,Specific Humidity,specific_humidity,TIER2,,mon
hus10,1,Specific Humidity,specific_humidity,TIER2,,day
hus10,1,Specific Humidity,specific_humidity,TIER2,,6hrPt
zg150,m,Geopotential Height,geopotential_height,TIER2,,mon
zg150,m,Geopotential Height,geopotential_height,TIER2,,day
zg150,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg100,m,Geopotential Height,geopotential_height,TIER2,,mon
zg100,m,Geopotential Height,geopotential_height,TIER2,,day
zg100,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg70,m,Geopotential Height,geopotential_height,TIER2,,mon
zg70,m,Geopotential Height,geopotential_height,TIER2,,day
zg70,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg50,m,Geopotential Height,geopotential_height,TIER2,,mon
zg50,m,Geopotential Height,geopotential_height,TIER2,,day
zg50,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg30,m,Geopotential Height,geopotential_height,TIER2,,mon
zg30,m,Geopotential Height,geopotential_height,TIER2,,day
zg30,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg20,m,Geopotential Height,geopotential_height,TIER2,,mon
zg20,m,Geopotential Height,geopotential_height,TIER2,,day
zg20,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
zg10,m,Geopotential Height,geopotential_height,TIER2,,mon
zg10,m,Geopotential Height,geopotential_height,TIER2,,day
zg10,m,Geopotential Height,geopotential_height,TIER2,,6hrPt
wa150,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa150,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa150,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa100,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa100,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa100,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa70,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa70,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa70,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa50,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa50,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa50,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa30,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa30,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa30,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa20,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa20,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa20,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
wa10,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,mon
wa10,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,day
wa10,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,6hrPt
ua750,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,mon
ua750,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,day
ua750,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,6hrPt
va750,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,mon
va750,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,day
va750,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,6hrPt
ta750,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,mon
ta750,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,day
ta750,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,6hrPt
hus750,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,mon
hus750,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,day
hus750,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,6hrPt
zg750,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,mon
zg750,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,day
zg750,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,6hrPt
wa750,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,requested by CORDEX-Africa,mon
wa750,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,requested by CORDEX-Africa,day
wa750,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,requested by CORDEX-Africa,6hrPt
ua200m,m s-1,Eastward Wind at 200m,eastward_wind,TIER2,,mon
ua200m,m s-1,Eastward Wind at 200m,eastward_wind,TIER2,,day
ua200m,m s-1,Eastward Wind at 200m,eastward_wind,TIER2,,1hrPt
ua250m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,mon
ua250m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,day
ua250m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,1hrPt
ua300m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,mon
ua300m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,day
ua300m,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,1hrPt
va200m,m s-1,Northward Wind at 200m,northward_wind,TIER1,,mon
va200m,m s-1,Northward Wind at 200m,northward_wind,TIER1,,day
va200m,m s-1,Northward Wind at 200m,northward_wind,TIER1,,1hrPt
va250m,m s-1,Northward Wind at 250m,northward_wind,TIER1,,mon
va250m,m s-1,Northward Wind at 250m,northward_wind,TIER1,,day
va250m,m s-1,Northward Wind at 250m,northward_wind,TIER1,,1hrPt
va300m,m s-1,Northward Wind at 350m,northward_wind,TIER1,,mon
va300m,m s-1,Northward Wind at 350m,northward_wind,TIER1,,day
va300m,m s-1,Northward Wind at 350m,northward_wind,TIER1,,1hrPt
sftgif,%,Percentage of the Grid Cell Covered by Glacier,land_ice_area_fraction,TIER2,,fx
mrsofc,kg m-2,Capacity of Soil to Store Water  (Field Capacity),soil_moisture_content_at_field_capacity,TIER2,,fx
rootd,m,Maximum Root Depth,root_depth,TIER2,,fx
sftlaf,%,Percentage of the Grid Cell Occupied by Lake,lake_area_fraction,TIER2,not in CMIP or in CF ,fx
sfturf,%,Percentage of the Grid Cell Occupied by City,urban_area_fraction,TIER2,not in CMIP or in CF ,fx
dtb,m,Depth to Bedrock,bedrock_depth,TIER2,not in CMIP or in CF (lower boundary of land surface models),fx
areacella,m2,Atmosphere Grid-Cell Area,cell_area,TIER2,,fx
