out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods,modeling_realm,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
rlds,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlds,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlds,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
orog,m,Surface Altitude,surface_altitude,CORE,,fx,area: mean time: mean,atmos,area: areacella,longitude latitude,real,,,,,
sftlf,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,CORE,,fx,area: mean time: mean,atmos,area: areacella,longitude latitude,real,,,,,
ts,K,Surface Temperature,surface_temperature,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
ts,K,Surface Temperature,surface_temperature,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
ts,K,Surface Temperature,surface_temperature,TIER1,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
tsl,K,Temperature of Soil,soil_temperature,TIER1, Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tsl,K,Temperature of Soil,soil_temperature,TIER1, Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tsl,K,Temperature of Soil,soil_temperature,TIER1, Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
prc,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prc,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
